country,iso_code,year,month,continent,income_group,latitude,longitude,latitude_band,climate_zone,temp_anomaly_global,temp_anomaly_land,temp_anomaly_ocean,temp_anomaly_arctic,temp_max,temp_min,co2_emissions,co2_per_capita,co2_per_gdp,cumulative_co2,co2_concentration_ppm,methane_emissions,nitrous_oxide,total_ghg,land_use_change_co2,sea_ice_extent_arctic,sea_ice_extent_antarc,sea_surface_temp_anom,nino34_index,ocean_heat_content,precipitation_anomaly,drought_index_pdsi,spi_3month,primary_energy_twh,share_renewables_pct,share_coal_pct,co2_per_kwh,electricity_demand_twh,renewable_capacity_gw,oil_production,population_millions,gdp_per_capita_usd,population_density,urbanization_rate,forest_cover_pct,industrial_share_gdp,agriculture_share_gdp,vehicle_ownership,radiative_forcing,temp_change_from_co2,climate_risk_score,warming_category,renewable_transition_stage,emission_intensity_level
Argentina,ARG,1992,12,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.31,0.72,0.18,0.54,-1.7,-16.3,152.1,3.96,0.1521,464.0,356,20.9,8.5,207.4,-1.2,11.61,11.88,0.16,1.0,-2.28,13.6,-0.04,-0.28,191.9,9.7,1.7,317.0,67.2,13.0,0.53,37.74,9540.0,13575.5,91.9,11,23,8,271.0,2.118,0.17,10.4,Normal,Low,Medium
Argentina,ARG,1993,1,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.21,0.6,0.02,0.3,-5.2,-15.3,153.6,4.57,0.1536,618.0,357,32.2,9.0,214.8,1.4,13.71,10.88,0.01,0.19,-1.07,45.0,0.84,0.82,205.3,8.6,1.7,299.3,71.9,12.4,0.52,38.12,10023.0,13712.2,90.4,11,23,8,284.0,2.177,0.17,9.3,Normal,Low,Medium
Argentina,ARG,1993,2,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.24,0.56,0.11,0.41,-4.6,-15.0,153.6,4.57,0.1536,618.0,357,32.2,9.0,214.8,1.4,,11.17,0.04,0.43,,21.2,0.28,0.13,205.3,8.6,1.7,299.3,71.9,12.4,0.52,38.12,10023.0,13712.2,90.4,11,23,8,269.0,2.177,0.17,14.8,Normal,Low,Medium
Argentina,ARG,1993,3,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.3,0.71,0.15,0.6,4.3,-8.9,153.6,4.57,0.1536,618.0,357,32.2,9.0,214.8,1.4,15.87,10.49,0.16,0.16,-1.07,-64.7,-1.37,-0.33,205.3,8.6,1.7,299.3,71.9,12.4,0.52,38.12,10023.0,13712.2,90.4,11,23,8,288.0,2.177,0.17,18.1,Normal,Low,Medium
Argentina,ARG,1993,4,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.26,0.68,0.11,0.69,11.5,2.1,153.6,4.57,0.1536,618.0,357,32.2,9.0,214.8,1.4,15.29,11.08,0.14,0.02,-1.07,20.7,0.2,0.8,205.3,8.6,1.7,299.3,71.9,12.4,0.52,38.12,10023.0,13712.2,90.4,11,23,8,275.0,2.177,0.17,9.6,Normal,Low,Medium
Argentina,ARG,1993,5,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.21,0.57,0.07,0.6,18.9,11.7,153.6,4.57,0.1536,618.0,357,32.2,9.0,214.8,1.4,13.71,11.04,0.08,0.3,,-0.1,-0.39,-0.52,205.3,8.6,1.7,299.3,71.9,12.4,0.52,38.12,10023.0,13712.2,90.4,11,23,8,280.0,2.177,0.17,9.2,Normal,Low,Medium
Argentina,ARG,1993,6,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.28,0.7,0.16,0.54,27.8,13.0,153.6,4.57,0.1536,618.0,357,32.2,9.0,214.8,1.4,11.56,12.22,0.19,0.31,-1.07,6.4,0.09,-0.6,205.3,8.6,1.7,299.3,71.9,12.4,0.52,38.12,10023.0,13712.2,90.4,11,23,8,278.0,2.177,0.17,9.5,Normal,Low,Medium
Argentina,ARG,1993,7,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.31,0.59,0.13,0.38,32.6,19.3,153.6,4.57,0.1536,618.0,357,32.2,9.0,214.8,1.4,9.4,12.59,0.08,0.61,-1.07,-34.1,-0.99,-0.26,205.3,8.6,1.7,299.3,71.9,12.4,0.52,38.12,10023.0,13712.2,90.4,11,23,8,287.0,2.177,0.17,15.5,Normal,Low,Medium
Argentina,ARG,1993,8,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.25,0.63,0.09,0.35,29.1,16.4,153.6,4.57,0.1536,618.0,357,32.2,9.0,214.8,1.4,7.82,13.21,0.06,0.06,-1.07,-47.8,-0.46,-0.76,205.3,8.6,1.7,299.3,71.9,12.4,0.52,38.12,10023.0,13712.2,90.4,11,23,8,269.0,2.177,0.17,12.4,Normal,Low,Medium
Argentina,ARG,1993,9,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.17,0.55,-0.01,0.29,20.0,8.6,153.6,4.57,0.1536,618.0,357,32.2,9.0,214.8,1.4,7.24,13.31,-0.02,0.15,-1.07,45.8,0.95,1.32,205.3,8.6,1.7,299.3,71.9,12.4,0.52,38.12,10023.0,13712.2,90.4,11,23,8,272.0,2.177,0.17,9.3,Normal,Low,Medium
Argentina,ARG,1993,10,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.29,0.66,0.14,0.84,9.8,1.1,153.6,4.57,0.1536,618.0,357,32.2,9.0,214.8,1.4,7.82,13.54,0.07,0.33,-1.07,32.5,0.89,0.12,205.3,8.6,1.7,299.3,71.9,12.4,0.52,38.12,10023.0,13712.2,90.4,11,23,8,271.0,2.177,0.17,10.8,Normal,Low,Medium
Argentina,ARG,1993,11,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.31,0.57,0.13,0.56,1.1,-8.6,153.6,4.57,0.1536,618.0,357,32.2,9.0,214.8,1.4,9.4,11.82,0.11,0.04,-1.07,31.1,0.62,-0.18,205.3,8.6,1.7,299.3,71.9,12.4,0.52,38.12,10023.0,13712.2,90.4,11,23,8,266.0,2.177,0.17,11.3,Normal,Low,Medium
Argentina,ARG,1993,12,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.29,0.6,0.2,0.74,-3.1,-15.3,153.6,4.57,0.1536,618.0,357,32.2,9.0,214.8,1.4,11.56,11.21,0.21,0.09,,5.9,0.52,0.19,205.3,8.6,1.7,299.3,71.9,12.4,0.52,38.12,10023.0,13712.2,90.4,11,23,8,280.0,2.177,0.17,9.8,Normal,Low,Medium
Argentina,ARG,1994,1,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.4,0.78,0.25,0.76,-8.2,-20.8,166.3,4.41,0.1663,784.0,359,29.3,11.2,227.4,-1.1,13.56,11.38,0.18,1.26,0.5,-43.4,-0.4,-0.4,218.1,9.6,2.6,305.0,76.3,14.7,0.51,38.5,10295.0,13848.9,92.2,11,23,8,275.0,2.236,0.22,15.6,Normal,Low,Medium
Argentina,ARG,1994,2,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.43,0.71,0.29,0.71,-3.4,-17.0,166.3,4.41,0.1663,784.0,359,29.3,11.2,227.4,-1.1,15.21,10.69,0.24,1.04,0.5,36.3,1.07,0.55,218.1,9.6,2.6,305.0,76.3,14.7,0.51,38.5,10295.0,13848.9,92.2,11,23,8,270.0,2.236,0.22,14.4,Normal,Low,Medium
Argentina,ARG,1994,3,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.38,0.84,0.27,0.78,4.6,-8.9,166.3,4.41,0.1663,784.0,359,29.3,11.2,227.4,-1.1,15.81,11.21,0.26,0.71,,-21.9,-0.17,0.15,218.1,9.6,2.6,305.0,76.3,14.7,0.51,38.5,10295.0,13848.9,92.2,11,23,8,285.0,2.236,0.22,13.3,Normal,Low,Medium
Argentina,ARG,1994,4,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.37,0.76,0.29,0.7,10.1,1.0,166.3,4.41,0.1663,784.0,359,29.3,11.2,227.4,-1.1,15.21,11.57,0.28,0.44,0.5,-50.0,-0.35,-0.7,218.1,9.6,2.6,305.0,76.3,14.7,0.51,38.5,10295.0,13848.9,92.2,11,23,8,278.0,2.236,0.22,14.9,Normal,Low,Medium
Argentina,ARG,1994,5,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.36,0.79,0.21,0.93,20.9,11.6,166.3,4.41,0.1663,784.0,359,29.3,11.2,227.4,-1.1,13.56,12.07,0.16,0.57,0.5,-20.8,0.55,-0.01,218.1,9.6,2.6,305.0,76.3,14.7,0.51,38.5,10295.0,13848.9,92.2,11,23,8,301.0,2.236,0.22,12.0,Normal,Low,Medium
Argentina,ARG,1994,6,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.4,0.79,0.24,0.65,29.2,14.4,166.3,4.41,0.1663,784.0,359,29.3,11.2,227.4,-1.1,11.32,12.22,0.24,0.97,0.5,1.5,0.3,-0.14,218.1,9.6,2.6,305.0,76.3,14.7,0.51,38.5,10295.0,13848.9,92.2,11,23,8,274.0,2.236,0.22,12.3,Normal,Low,Medium
Argentina,ARG,1994,7,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.4,0.73,0.28,0.93,30.7,18.7,166.3,4.41,0.1663,784.0,359,29.3,11.2,227.4,-1.1,9.07,12.88,0.26,0.51,0.5,-83.1,-2.07,-0.94,218.1,9.6,2.6,305.0,76.3,14.7,0.51,38.5,10295.0,13848.9,92.2,11,23,8,288.0,2.236,0.22,24.2,Normal,Low,Medium
Argentina,ARG,1994,8,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.4,0.74,0.27,1.08,28.6,15.7,166.3,4.41,0.1663,784.0,359,29.3,11.2,227.4,-1.1,7.43,,0.23,1.05,0.5,-25.2,-0.36,-0.66,218.1,9.6,2.6,305.0,76.3,14.7,0.51,38.5,10295.0,13848.9,92.2,11,23,8,276.0,2.236,0.22,15.0,Normal,Low,Medium
Argentina,ARG,1994,9,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.42,0.8,0.3,1.06,20.0,11.2,166.3,4.41,0.1663,784.0,359,29.3,11.2,227.4,-1.1,6.83,13.13,0.21,0.96,0.5,-9.7,-0.93,-0.12,218.1,9.6,2.6,305.0,76.3,14.7,0.51,38.5,10295.0,13848.9,92.2,11,23,8,298.0,2.236,0.22,19.5,Normal,Low,Medium
Argentina,ARG,1994,10,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.39,0.77,0.23,1.39,13.9,0.8,166.3,4.41,0.1663,784.0,359,29.3,11.2,227.4,-1.1,7.43,12.68,0.21,1.12,0.5,9.8,-0.45,0.27,218.1,9.6,2.6,305.0,76.3,14.7,0.51,38.5,10295.0,13848.9,92.2,11,23,8,278.0,2.236,0.22,14.5,Normal,Low,Medium
Argentina,ARG,1994,11,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.37,0.77,0.26,1.01,5.0,-7.9,166.3,4.41,0.1663,784.0,359,29.3,11.2,227.4,-1.1,9.07,12.5,0.22,0.75,0.5,-16.4,-0.43,-0.22,218.1,9.6,2.6,305.0,76.3,14.7,0.51,38.5,10295.0,13848.9,92.2,11,23,8,270.0,2.236,0.22,13.9,Normal,Low,Medium
Argentina,ARG,1994,12,South America,Upper Middle,-34.0,-64.0,Temperate,Temperate,0.4,0.79,0.32,0.94,-3.7,-15.0,166.3,4.41,0.1663,784.0,359,29.3,11.2,227.4,-1.1,11.32,11.78,,0.66,0.5,-36.1,-0.25,-0.16,218.1,9.6,2.6,305.0,76.3,14.7,0.51,38.5,10295.0,13848.9,92.2,11,23,8,281.0,2.236,0.22,14.7,Normal,Low,Medium
